lat,long,name
603.244,460.621,Gustavo A. Madero
623.385,569.956,San Fernando
608.631,646.459,Gustavo Díaz Ordaz
592.009,290.783,Zumpango
577.937,172.304,Zumpango del Río
668.376,128.981,Zimatlán de Álvarez
582.696,342.819,Zimapan
642.953,289.361,Zaragoza
606.628,337.948,Zacualtipán
629.557,298.356,Zacatlán
643.688,261.466,Zacatepec
589.005,227.615,Zacatepec
66.953,13.349,Villa de Zaachila
925.155,348.081,Estado de Yucatán
599.743,240.298,Yecapixtla
593.075,240.218,Yautepec
815.206,145.749,Yajalón
587.173,229.337,Xoxocotla
577.871,269.139,Xonacatlán
587.685,234.653,Xochitepec
591.822,260.999,Xochimilco
629.559,317.278,Xicotepec de Juárez
660.993,27.006,Xico
597.405,261.682,San Miguel Xico Viejo
615.759,258.472,Santa Ana Xalmimilulco
588.584,266.571,Álvaro Obregón
795.509,190.749,Villahermosa
591.669,273.839,Gustavo A. Madero
57.686,269.782,Villa Cuauhtémoc Otzolotepec
672.258,265.171,Estado de Veracruz-Llave
689.536,256.748,Veracruz
807.626,996.892,Venustiano Carranza
634.484,615.519,Valle Hermoso
951.566,340.054,Valladolid
73.286,107.032,Unión Hidalgo
900.531,350.778,Uman
789.479,122.919,Tuxtla Gutiérrez
647.805,354.957,Tuxpan de Rodríguez Cano
589.749,282.539,Tultitlán
591.066,284.609,Tultepec
616.292,306.642,Tulancingo
583.943,304.872,Tula de Allende
669.053,131.853,Trinidad Zaachila
573.742,262.657,Toluca
624.319,280.707,Tlaxco
588.019,307.084,Tlaxcoapan
61.893,248.329,Tlazcalancingo
622.779,269.777,Estado de Tlaxcala
589.943,226.678,Tlaquiltenango
60.916,166.071,Tlapa de Comonfort
654.289,299.957,Tlapacoyan
652.157,260.611,Tlanalapan
591.337,229.387,Tlaltizapán
589.752,263.167,Tlalpan
588.845,276.597,Tlalnepantla
601.842,258.247,Tlalmanalco de Velázquez
595.185,262.415,Tlahuac
678.551,133.697,Tlacolula de Matamoros
953.155,365.188,Tizimín
596.079,293.022,Tizayuca
582.162,167.558,Tixtla de Guerrero
912.131,357.415,Tixkokob
64.367,341.512,Tihuatlan
577.904,145.304,Tierra Colorada
907.494,324.037,Ticul
579.904,256.709,Santiago Tíanguistenco
586.242,312.562,Tezontepec de Aldama
64.939,291.921,Teziutlan
599.152,275.043,Texcoco de Mora
604.205,240.836,Tetela del Volcán
590.516,297.014,Tequixquiac
565.877,3.309,Tequisquiapan
588.165,282.336,Cuautitlán Izcalli
59.202,245.974,Tepoztlán
587.911,286.533,Tepotzotlán
583.976,296.841,Tepeji de Ocampo
610.046,290.324,Tepeapulco
631.551,245.046,Tepeaca
6.294,250.476,Tepatlaxco de Hidalgo
592.327,315.599,Tepatepec
600.468,224.406,Tepalcingo
810.495,110.965,Teopisca
5.894,287.969,Teoloyucan
845.209,162.339,Tenosique de Pino Suárez
575.834,25.252,Tenango de Arista
575.714,244.617,Tenancingo de Degollado
615.468,386.034,Tempoal de Sánchez
587.679,238.747,Temixco
562.182,297.396,Temascalcingo de José María Velazco
640.083,360.947,Temapache
566.665,211.781,Teloloapan
915.747,313.362,Tecax
648.305,216.981,Tehuacán
637.139,240.213,Tecamachalco
794.789,166.584,Teapa
575.336,222.221,Taxco de Alarcón
817.558,205.108,Tapachula
620.831,376.674,Tantoyuca
602.556,412.872,Tamuin
63.264,427.942,Tampico
602.238,37.166,Tamazunchale
603.536,523.113,Estado de Tamaulipas
804.204,191.473,Estado de Tabasco
818.802,0,Brisas Barra de Suchiate
789.886,115.503,Suchiapa
680.348,249.309,Soledad de Doblado
728.552,184.886,Sayula de Alemán
719.285,9.887,Santo Domingo Tehuantepec
71.732,217.217,Santiago Tuxtla
624.843,270.667,Sección Primera Santiago Tetla
626.452,99.635,Santiago Pinotepa Nacional
646.832,22.161,Santiago Miahuatlán
61.652,303.993,Santiago Tulantepec
624.859,25.169,Santa María Xonacatepec
614.926,260.547,Moyotzingo
618.159,253.494,Santa María Coronango
596.927,270.047,Santa María Chimalhuacán
638.815,151.077,Heroica Ciudad de Tlaxiaco
669.998,137.835,Santa Cruz Xoxocotlán
596.314,28.615,Tecamac de Felipe Villanueva
592.982,287.877,Nextlalpan
621.094,263.678,Chiautempan
653.218,210.037,San Sebastián Zinacatepec
640.096,254.112,San Salvador El Seco
597.973,277.241,San Salvador Atenco
678.877,668.801,San Pedro Pochutla
568.185,281.313,San Pedro Los Baños
592.147,283.597,San Pablo de las Salinas
57.361,266.445,San Pablo Autopan
598.286,258.737,San Pablo Atlazalpan
57.108,26.246,San Miguel Zinacantepec
618.109,256.041,San Miguel Xoxtla
599.488,271.619,Coatlinchán
624.877,255.145,San Miguel Canoa
611.828,26.473,San Matias Tlalancaleca
577.736,261.536,San Mateo Atenco
6.138,262.461,San Martin Texmelucan de Labastida
600.715,285.759,San Martín de las Pirámides
584.294,305.705,San Marcos
582.451,125.019,San Marcos
621.982,260.196,Teolocholco
599.839,284.765,Teotihuacán de Arista
562.434,323.455,San Juan del Río
570.275,260.429,San Juan de las Huertas
690.115,196.354,Tuxtepec
649.791,209.491,San Gabriel Chilac
656.719,199.859,San Gabriel Casa Blanca
569.966,263.038,San Francisco Tlalcilalcalpan
600.054,265.715,San Francisco Acuautla
619.892,252.228,Sanctorum
805.043,121.373,San Cristóbal de las Casas
8.541,166.722,San Carlos
572.075,279.897,San Bartolo del Llano
594.945,2.918,San Bartolo Cuautlalpan
720.201,216.274,San Andres Tuxtla
61.317,25.249,San Andrés Calpan
720.592,910.997,Salina Cruz
562.577,408.715,Río Verde
625.171,632.957,Río Bravo
657.031,237.867,Río Blanco
618.464,637.905,Reynosa
634.925,259.424,Rafael Lara Grajales
941.648,283.596,Estado de Quintana Roo
565.052,357.293,Estado de Querétaro de Arteaga
658.714,737.616,Puerto Escondido
584.798,225.451,Puente de Ixtla
621.615,249.142,Puebla
628.276,237.534,Estado de Puebla
589.026,315.799,Progreso de Alvaro Obregon
903.798,373.071,Progreso de Castro
583.518,281.944,Progreso Industrial
646.107,331.489,Poza Rica de Hidalgo
588.693,269.777,Polanco
988.494,336.698,Playa del Carmen
615.921,372.317,Platón Sánchez
786.302,635.808,Pijijiapan
789.386,164.389,Pichucalco
927.701,309.081,Peto
653.271,277.882,Perote
670.352,245.194,Paso del Macho
786.148,213.647,Paraiso
650.544,326.702,Papantla de Olarte
622.175,415.536,Pánuco
619.366,264.223,Panotla
640.187,241.159,Palmarito Tochapán
826.774,164.363,Palenque
604.088,308.485,Pachuca de Soto
602.047,248.786,Ozumba de Alzate
911.364,319.007,Oxkutzkab
738.199,191.601,Oteapan
657.937,238.511,Orizaba
614.819,11.907,Ometepec
730.662,187.539,Oluta
780.847,123.062,Ocozocoautla de Espinosa
580.186,26.174,Ocoyoacac
823.103,131.026,Ocosingo
670.379,139.816,Oaxaca de Juárez
677.756,1.362,Estado de Oaxaca
562.303,615.235,Estado de Nuevo León
578.256,715.259,Nuevo Laredo
656.116,237.428,Nogales
585.169,281.932,Nicolás Romero
614.209,24.948,Nealtican
587.385,273.195,Naucalpan de Juárez
638.616,376.687,Naranjos
746.779,195.407,Villa Nanchital
61.062,273.964,Ciudad de Nanacamilpa
901.607,32.899,Muna
915.809,362.583,Motul
818.011,459.072,Motozintla de Mendoza
59.529,232.928,Estado de Morelos
567.956,588.838,Montemorelos
619.471,250.815,Santiago Momoxpan
588.232,31.475,Mixquiahuala de Juarez
666.147,298.146,Misantla
632.911,430.301,Miramar
606.038,309.735,Mineral del Monte
741.934,191.432,Minatitlan
594.526,257.387,Milpa Alta
674.602,993.194,Miahuatlán de Porfirio Díaz
57.544,261.081,Metepec
904.804,355.932,Mérida
892.136,33.433,Maxcanú
725.937,129.513,Matías Romero
644.632,627.011,Heroica Matamoros
659.258,305.934,Martínez de la Torre
796.495,496.188,Mapastepec
617.658,452.794,Ursulo Galván
652.136,236.263,Maltrata
606.145,149.742,Malinaltepec
588.324,265.104,Magdalena Contreras
806.519,178.292,Macuspana
595.924,289.611,Reyes Acozac
596.046,266.842,Los Reyes La Paz
57.663,570.597,Linares
637.696,272.053,Libres
